1,,,,18.46,18.685,0.000055,5.6722945E-05
2,,,,15.11,15.145,0.00055,0.0005653131
3,,,,11,11.7,0.0055,0.0095213106
4,,,,7.98,8.16,0.055,0.075715359
5,,,,5.26,5.09,0.55,0.48962791
6,,,,1.12,1.955,5.5,8.4064636
7,,,,30.72,,,1.2584315E-08
8,,,,32.43,,,3.8801248E-09
9,,,,18.91,,0.000055,4.1725814E-05
10,,,,15.18,,0.00055,0.0005390588
11,,,,12.4,,0.0055,0.003639788
12,,,,8.34,,0.055,0.059184351
13,,,,4.92,,0.55,0.62000552
14,,,,2.79,,5.5,2.680555
15,,,,33.64,,,1.6901439E-09
16,,,,29.03,,,4.012962E-08
17,,,,7.45,,,0.10911151
18,,,,7.41,,,0.11182658
19,,,,7.43,,,0.11077593
20,,,,7.6,,,0.098227519
21,,,,7.71,,,0.09118826
22,,,,7.6,,,0.098166305
23,,,,8.5,,,0.053105379
24,,,,8.45,,,0.054718422
25,,,,8.52,,,0.052279519
26,,,,7.87,,,0.081865819
27,,,,7.86,,,0.082333743
28,,,,7.79,,,0.086098003
29,,,,6.74,6.82,0.1135781669,0.17762504
30,,,,6.77,,,0.17338961
31,,,,6.95,,,0.15400884
32,,,,8.01,7.96,0.1044030651,0.073982379
33,,,,8.03,,,0.07331993
34,,,,7.84,,,0.083188682
35,,,,5.73,5.7533333333,0.0404145188,0.35552125
36,,,,5.73,,,0.35416244
37,,,,5.8,,,0.33901016
38,,,,6.87,6.94,0.0608276253,0.16191289
39,,,,6.97,,,0.15196525
40,,,,6.98,,,0.15094021
41,,,,6.22,6.31,0.09,0.25313738
42,,,,6.4,,,0.2248828
43,,,,6.31,,,0.23769089
44,,,,7.47,7.52,0.0556776436,0.10739554
45,,,,7.58,,,0.099637149
46,,,,7.51,,,0.10476006
47,,,,10.25,10.3,0.0953939201,0.015894137
48,,,,10.24,,,0.015999225
49,,,,10.41,,,0.014306132
50,,,,12.13,11.8133333333,0.277908858,0.0043898517
51,,,,11.7,,,0.0058727589
52,,,,11.61,,,0.0062549608
53,,,,6.9,7.05,0.1345362405,0.15956536
54,,,,7.09,,,0.13981179
55,,,,7.16,,,0.13328305
56,,,,8.19,8.2233333333,0.04163332,0.065654444
57,,,,8.21,,,0.064921864
58,,,,8.27,,,0.062183036
